,Energy,Momentum
0,-22.446807281173143,0.0
1,-21.29163869642018,0.0
2,-20.98596562415426,0.0
3,-20.77170258986904,0.0
4,-19.784400901844215,0.0
5,-19.42451779298404,0.0
6,-19.381338993837467,0.0
7,-19.242888090241408,0.0
8,-19.206772766562114,0.0
9,-19.199823872262805,0.0
10,-18.98449265675307,0.0
11,-18.657977343351515,0.0
12,-18.647114976735885,0.0
13,-18.467118227310706,0.0
14,-18.40452085585202,0.0
15,-18.370809695737364,0.0
16,-18.302572218421044,0.0
17,-18.210577278534476,0.0
18,-18.16708599864393,0.0
19,-18.135955472053162,0.0
20,-19.989785309518968,1.9634954084936207
21,-19.381135562492986,1.9634954084936207
22,-19.325277512901515,1.9634954084936207
23,-19.243591849898472,1.9634954084936207
24,-19.19907619171564,1.9634954084936207
25,-19.12453176310402,1.9634954084936207
26,-19.122225601997638,1.9634954084936207
27,-18.944226945571017,1.9634954084936207
28,-18.8765986481317,1.9634954084936207
29,-18.80944810387815,1.9634954084936207
30,-18.716256410346766,1.9634954084936207
31,-18.691807746685885,1.9634954084936207
32,-18.613324893365508,1.9634954084936207
33,-18.590763776501063,1.9634954084936207
34,-18.409371475425786,1.9634954084936207
35,-18.38550967054192,1.9634954084936207
36,-18.202342091446674,1.9634954084936207
37,-18.18535192997989,1.9634954084936207
38,-18.161932750046986,1.9634954084936207
39,-18.147184418675973,1.9634954084936207
40,-19.989785309519146,4.319689898685965
41,-19.381135562492968,4.319689898685965
42,-19.32527751290154,4.319689898685965
43,-19.243591849898518,4.319689898685965
44,-19.199076191715708,4.319689898685965
45,-19.12453176311029,4.319689898685965
46,-19.12222560200443,4.319689898685965
47,-18.944226945576375,4.319689898685965
48,-18.8765986481317,4.319689898685965
49,-18.80944810387813,4.319689898685965
50,-18.716256410346798,4.319689898685965
51,-18.691807746685946,4.319689898685965
52,-18.613324893365554,4.319689898685965
53,-18.590763776501095,4.319689898685965
54,-18.40937147542584,4.319689898685965
55,-18.385509670541946,4.319689898685965
56,-18.202342091446788,4.319689898685965
57,-18.185351929979944,4.319689898685965
58,-18.161932750046994,4.319689898685965
59,-18.147184418675952,4.319689898685965
60,-19.725238741233348,1.5707963267948966
61,-19.215707217141325,1.5707963267948966
62,-19.154151418754306,1.5707963267948966
63,-19.024306178545196,1.5707963267948966
64,-18.952877917304814,1.5707963267948966
65,-18.92852019319937,1.5707963267948966
66,-18.87308010714664,1.5707963267948966
67,-18.834597770756265,1.5707963267948966
68,-18.766974604626633,1.5707963267948966
69,-18.61799133610926,1.5707963267948966
70,-18.608306089720195,1.5707963267948966
71,-18.52030375258366,1.5707963267948966
72,-18.477947027041296,1.5707963267948966
73,-18.42327490617019,1.5707963267948966
74,-18.413726431584077,1.5707963267948966
75,-18.3926949290002,1.5707963267948966
76,-18.313127905032303,1.5707963267948966
77,-18.30189323768686,1.5707963267948966
78,-18.265747811531515,1.5707963267948966
79,-18.26323218931747,1.5707963267948966
80,-19.725238741233312,4.71238898038469
81,-19.215707217141276,4.71238898038469
82,-19.154151418754275,4.71238898038469
83,-19.024306178545107,4.71238898038469
84,-18.952877917304836,4.71238898038469
85,-18.928520193199354,4.71238898038469
86,-18.87308010714664,4.71238898038469
87,-18.834597770756304,4.71238898038469
88,-18.76697460462663,4.71238898038469
89,-18.617991336109245,4.71238898038469
90,-18.608306089720184,4.71238898038469
91,-18.520303752583708,4.71238898038469
92,-18.477947027041264,4.71238898038469
93,-18.42327490617016,4.71238898038469
94,-18.413726431584056,4.71238898038469
95,-18.392694929000193,4.71238898038469
96,-18.31312790503232,4.71238898038469
97,-18.301893237686905,4.71238898038469
98,-18.26574781153153,4.71238898038469
99,-18.263232189317492,4.71238898038469
100,-22.004011719814752,3.141592653589793
101,-20.554009126457913,3.141592653589793
102,-20.283025531031317,3.141592653589793
103,-19.945836152615637,3.141592653589793
104,-19.682267112031486,3.141592653589793
105,-19.638731575067975,3.141592653589793
106,-19.445202446726146,3.141592653589793
107,-19.443397837568252,3.141592653589793
108,-19.202909057585227,3.141592653589793
109,-18.710927678040015,3.141592653589793
110,-18.705376653504764,3.141592653589793
111,-18.675985045178134,3.141592653589793
112,-18.46402594973953,3.141592653589793
113,-18.418010521020722,3.141592653589793
114,-18.375688901904656,3.141592653589793
115,-18.292592265517502,3.141592653589793
116,-18.181898887609183,3.141592653589793
117,-18.137533241132804,3.141592653589793
118,-18.0580408857496,3.141592653589793
119,-18.044489887278573,3.141592653589793
120,-21.380099425720715,3.5342917352885173
121,-20.29825904842294,3.5342917352885173
122,-20.17639662356695,3.5342917352885173
123,-19.89422748949072,3.5342917352885173
124,-19.496038617940783,3.5342917352885173
125,-19.42826850654142,3.5342917352885173
126,-19.215292843424002,3.5342917352885173
127,-19.151453013677205,3.5342917352885173
128,-19.007049381796207,3.5342917352885173
129,-18.881980730798947,3.5342917352885173
130,-18.751045349634364,3.5342917352885173
131,-18.710691931401247,3.5342917352885173
132,-18.646710899241775,3.5342917352885173
133,-18.577141635481397,3.5342917352885173
134,-18.18951767532485,3.5342917352885173
135,-18.108815468227327,3.5342917352885173
136,-18.056774159120174,3.5342917352885173
137,-18.049053022254654,3.5342917352885173
138,-18.005197307904506,3.5342917352885173
139,-17.984643596800886,3.5342917352885173
140,-19.860287124662268,5.105088062083414
141,-19.64966504532912,5.105088062083414
142,-19.571197073046797,5.105088062083414
143,-19.55745293730039,5.105088062083414
144,-19.249073345518823,5.105088062083414
145,-19.003808978070595,5.105088062083414
146,-18.95393740120103,5.105088062083414
